year,model,run,experiment,NSW,VIC,QLD,SA,WA,TAS,NT,AUS
2020,ACCESS-ESM1-5,r1i1p1f1,ssp370,5.32,7.6,7.53,5.27,2.45,4.89,4.91,5.67
2020,ACCESS-ESM1-5,r2i1p1f1,ssp370,15.08,7.32,7.22,11.89,6.31,6.34,7.47,8.73
2021,ACCESS-ESM1-5,r1i1p1f1,ssp370,3.51,3.28,5.13,5.77,8.68,4.01,5.7,5.25
2021,ACCESS-ESM1-5,r2i1p1f1,ssp370,4.43,4.11,4.21,6.7,4.13,10.42,3.09,4.35
2022,ACCESS-ESM1-5,r1i1p1f1,ssp370,3.73,2.83,8.08,6.1,4.28,11.63,8.72,6.44
2022,ACCESS-ESM1-5,r2i1p1f1,ssp370,3.22,2.28,4.01,2.91,6.75,2.97,3.41,3.9
2023,ACCESS-ESM1-5,r1i1p1f1,ssp370,1.73,2.94,3.1,3.04,4.43,11.74,5.24,3.83
2023,ACCESS-ESM1-5,r2i1p1f1,ssp370,4.89,2.68,3.14,3.87,1.79,2.53,1.82,2.96
2024,ACCESS-ESM1-5,r1i1p1f1,ssp370,3.72,11.06,5.9,12.29,4.2,8.93,4.73,5.79
2024,ACCESS-ESM1-5,r2i1p1f1,ssp370,1.51,1.76,2.75,2.16,5.9,3.08,1.7,2.67
2025,ACCESS-ESM1-5,r1i1p1f1,ssp370,0.04,1.18,1.89,3.19,9.64,5.25,3.47,3.1
2025,ACCESS-ESM1-5,r2i1p1f1,ssp370,0.34,0.93,1.56,2.0,7.98,1.27,2.38,2.37
2026,ACCESS-ESM1-5,r1i1p1f1,ssp370,0.02,0.87,2.91,5.98,4.09,0.74,4.38,2.62
2026,ACCESS-ESM1-5,r2i1p1f1,ssp370,12.0,8.21,6.6,13.56,10.42,2.94,6.01,8.24
2027,ACCESS-ESM1-5,r1i1p1f1,ssp370,3.31,3.17,8.27,4.14,4.5,0.84,4.86,5.17
2027,ACCESS-ESM1-5,r2i1p1f1,ssp370,6.36,6.61,5.47,8.15,11.5,7.93,4.64,6.64
2028,ACCESS-ESM1-5,r1i1p1f1,ssp370,7.3,14.65,3.7,9.59,4.55,7.02,2.99,5.7
2028,ACCESS-ESM1-5,r2i1p1f1,ssp370,0.18,2.29,1.8,2.85,3.72,2.7,1.4,1.81
2029,ACCESS-ESM1-5,r1i1p1f1,ssp370,1.11,4.6,3.31,6.1,4.03,6.44,3.17,3.3
2029,ACCESS-ESM1-5,r2i1p1f1,ssp370,4.43,3.43,6.72,2.36,7.65,2.78,8.58,6.2
2030,ACCESS-ESM1-5,r1i1p1f1,ssp370,1.91,0.28,3.57,1.65,5.28,7.78,2.17,3.05
2030,ACCESS-ESM1-5,r2i1p1f1,ssp370,11.08,11.5,7.74,5.34,6.6,10.06,10.41,9.14
2031,ACCESS-ESM1-5,r1i1p1f1,ssp370,3.75,1.76,4.29,1.0,1.25,1.07,2.66,2.95
2031,ACCESS-ESM1-5,r2i1p1f1,ssp370,6.58,9.13,7.57,9.18,6.92,6.29,4.95,6.89
2032,ACCESS-ESM1-5,r1i1p1f1,ssp370,3.92,7.03,3.59,7.57,4.74,9.91,6.23,5.06
2032,ACCESS-ESM1-5,r2i1p1f1,ssp370,3.87,4.59,3.28,3.73,6.45,8.41,5.9,4.74
2033,ACCESS-ESM1-5,r1i1p1f1,ssp370,0.14,0.51,4.52,2.45,8.41,3.45,2.66,3.4
2033,ACCESS-ESM1-5,r2i1p1f1,ssp370,24.94,10.5,9.18,7.06,8.17,2.53,5.55,11.07
