year,model,run,experiment,NSW,VIC,QLD,SA,WA,TAS,NT,AUS
2086,ACCESS-ESM1-5,r1i1p1f1,ssp370,26.3,11.88,13.68,10.16,10.8,35.86,12.58,16.16
2087,ACCESS-ESM1-5,r1i1p1f1,ssp370,19.15,14.91,9.57,17.71,8.4,28.54,6.64,12.19
2088,ACCESS-ESM1-5,r1i1p1f1,ssp370,9.35,16.16,9.24,19.91,11.67,11.32,9.18,10.63
2089,ACCESS-ESM1-5,r1i1p1f1,ssp370,14.11,16.32,16.29,18.06,18.19,17.48,16.1,16.22
2090,ACCESS-ESM1-5,r1i1p1f1,ssp370,6.03,5.29,6.18,6.99,12.21,19.44,8.84,8.09
2091,ACCESS-ESM1-5,r1i1p1f1,ssp370,4.29,4.75,7.43,6.83,9.04,3.98,5.45,6.25
2092,ACCESS-ESM1-5,r1i1p1f1,ssp370,15.35,18.5,16.7,16.45,14.48,6.57,20.16,16.53
2093,ACCESS-ESM1-5,r1i1p1f1,ssp370,8.13,12.42,5.86,11.68,10.11,19.31,7.05,8.52
2094,ACCESS-ESM1-5,r1i1p1f1,ssp370,20.25,23.46,9.21,15.05,16.11,30.82,7.98,14.52
2095,ACCESS-ESM1-5,r1i1p1f1,ssp370,14.63,16.2,7.64,17.24,14.02,51.73,14.79,14.35
2096,ACCESS-ESM1-5,r1i1p1f1,ssp370,19.31,5.52,10.14,11.04,10.81,23.38,14.63,13.06
2097,ACCESS-ESM1-5,r1i1p1f1,ssp370,33.06,23.45,17.9,16.5,11.5,25.44,14.43,19.97
2098,ACCESS-ESM1-5,r1i1p1f1,ssp370,22.5,26.12,11.72,23.93,17.54,40.48,9.57,17.13
2099,ACCESS-ESM1-5,r1i1p1f1,ssp370,34.79,26.46,10.62,14.05,12.12,32.71,10.87,18.04
2100,ACCESS-ESM1-5,r1i1p1f1,ssp370,20.43,16.95,16.43,15.2,17.39,19.43,20.28,18.26
